article,description,html,ierarch,is_available,name,price,region,time,valute
911V07A3218_X1670,Beige cotton jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V07A3218_X1670-cotton-jacket,/women/ready-to-wear/jackets>,,Cotton jacket,"$3,100.00",en_us,0.9898817539215088,$
M0566ONGE_M900_TU,"Sac Lady Dior cabas en agneau Cannage noir, bandoulière.",https://www.dior.com/fr_fr/products/couture-M0566ONGE_M900_TU-sac-lady-dior-cabas-en-agneau,/femme/sacs/nouveautes>,,Sac Lady Dior cabas en agneau,"3750,00€",fr_fr,0.9814584255218506,€
M0422ORCH_M911_TU,Sac Diorama en toile Archicannage brodée de rayures multicolores.,https://www.dior.com/fr_fr/products/couture-M0422ORCH_M911_TU-sac-diorama-brode,/femme/sacs/nouveautes>,,Sac Diorama brodé,"3250,00€",fr_fr,1.0761909484863281,€
917V08A6634_X9000,Quilted black silk jacket.,https://www.dior.com/en_us/products/couture-917V08A6634_X9000-silk-jacket,/women/ready-to-wear/jackets>,,Silk jacket,"$3,800.00",en_us,1.253990888595581,$
911V23A1166_X9000,Double-breasted black wool and silk jacket.,https://www.dior.com/en_us/products/couture-911V23A1166_X9000-wool-and-silk-jacket,/women/ready-to-wear/jackets>,,Wool and silk jacket,"$4,100.00",en_us,1.3060710430145264,$
911V08A1166_X9000,Black wool and silk jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V08A1166_X9000-wool-and-silk-jacket,/women/ready-to-wear/jackets>,,Wool and silk jacket,"$4,100.00",en_us,1.361621379852295,$
M0422ONSW_M35R_TU,Sac Diorama en agneau Archicannage rouge avec œillets.,https://www.dior.com/fr_fr/products/couture-M0422ONSW_M35R_TU-sac-diorama-en-agneau,/femme/sacs/nouveautes>,,Sac Diorama en agneau,"2950,00€",fr_fr,1.5266547203063965,€
M0422ONGJ_M42R_TU,Sac Diorama en agneau matelassé Archicannage couleur amarante.,https://www.dior.com/fr_fr/products/couture-M0422ONGJ_M42R_TU-sac-diorama-en-agneau,/femme/sacs/nouveautes>,,Sac Diorama en agneau,"2750,00€",fr_fr,1.6953105926513672,€
M0422ONGJ_M900_TU,Sac Diorama en agneau matelassé Archicannage noir.,https://www.dior.com/fr_fr/products/couture-M0422ONGJ_M900_TU-sac-diorama-en-agneau,/femme/sacs/nouveautes>,,Sac Diorama en agneau,"2750,00€",fr_fr,1.820000410079956,€
M0446CWVG_M42R_TU,Sac Saddle en veau grainé embossé couleur amarante.,https://www.dior.com/fr_fr/products/couture-M0446CWVG_M42R_TU-sac-saddle-en-veau,/femme/sacs/nouveautes>,,Sac Saddle en veau,"2500,00€",fr_fr,2.016367197036743,€
S0105OSNI_M941_TU,Pochette Wallet on Chain Lady Dior en veau écru sérigraphié du motif Toile de Jouy bordeaux.,https://www.dior.com/fr_fr/products/couture-S0105OSNI_M941_TU-pochette-lady-dior-toile-de-jouy,/femme/sacs/nouveautes>,,Pochette Lady Dior Toile de Jouy,"1150,00€",fr_fr,2.2444982528686523,€
863C154E4211_C900,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué sur les côtés de ce pantalon de jogging en ottoman de laine noire, pour une allure à la fois mode et décontractée.",https://www.dior.com/fr_fr/products/couture-863C154E4211_C900-jogging-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Jogging en laine, Ruban ""Christian Dior Atelier""","850,00€",fr_fr,2.0074081420898438,€
963C110E4404_C540,"Ce pantalon en toile stretch de coton satiné bleu marine est revisité dans une version mode avec ses poches cargo. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C110E4404_C540-pantalon-en-coton-stretch-poches-cargo,/homme/pret-a-porter/nouveautes>,,"Pantalon en coton stretch, Poches cargo","900,00€",fr_fr,2.2206902503967285,€
763C190A4388_C989,"Signature de la Maison, ""l'Abeille"" est revisitée en jacquard all-over sur ce pantalon en laine mélangée noire et assure ainsi un look mode et élégant.",https://www.dior.com/fr_fr/products/couture-763C190A4388_C989-pantalon-en-laine-melangee-jacquard-abeille,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine mélangée, Jacquard ""Abeille""","700,00€",fr_fr,2.2663211822509766,€
863C155E4211_C900,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué sur les côtés de ce pantalon de jogging en ottoman de laine noire, pour une allure à la fois mode et décontractée.",https://www.dior.com/fr_fr/products/couture-863C155E4211_C900-jogging-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Jogging en laine, Ruban ""Christian Dior Atelier""","850,00€",fr_fr,2.665996551513672,€
963C102E4104_C541,"Ce pantalon droit à revers est revisité dans une version mode en velours côtelé stretch de coton bleu marine. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C102E4104_C541-pantalon-en-coton-stretch-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Pantalon en coton stretch, Ruban ""Christian Dior Atelier""","600,00€",fr_fr,2.6878178119659424,€
963C142D4178_C900,"Ce pantalon droit en serge de laine noire se distingue par ses plaques ""Christian Dior Atelier"" en métal et sa taille ajustable. Cette pièce assure ainsi un look contemporain.",https://www.dior.com/fr_fr/products/couture-963C142D4178_C900-pantalon-en-laine-plaques-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Plaques ""Christian Dior Atelier""","900,00€",fr_fr,3.5370633602142334,€
911V08A3218_X1670,Beige cotton jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V08A3218_X1670-cotton-jacket,/women/ready-to-wear/jackets>,,Cotton jacket,"$3,400.00",en_us,4.392284154891968,$
M0422ONSW_M900_TU,Sac Diorama en agneau Archicannage noir avec œillets.,https://www.dior.com/fr_fr/products/couture-M0422ONSW_M900_TU-sac-diorama-en-agneau,/femme/sacs/nouveautes>,,Sac Diorama en agneau,"2950,00€",fr_fr,4.3565590381622314,€
963C143H4178_C900,Ce pantalon en serge de laine noire est revisité dans une version élégante grâce à son insert de satin à la ceinture.,https://www.dior.com/fr_fr/products/couture-963C143H4178_C900-pantalon-en-laine-insert-de-satin,/homme/pret-a-porter/nouveautes>,,"Pantalon en laine, Insert de satin","750,00€",fr_fr,4.356427431106567,€
S0105OSNI_M37E_TU,Pochette Wallet on Chain Lady Dior en veau écru sérigraphié du motif Toile de Jouy bleu.,https://www.dior.com/fr_fr/products/couture-S0105OSNI_M37E_TU-pochette-lady-dior-toile-de-jouy,/femme/sacs/nouveautes>,,Pochette Lady Dior Toile de Jouy,"1150,00€",fr_fr,5.068312168121338,€
963C119E4408_C540,Ce pantalon de jogging zippé au bas est revisité dans une version en drap de laine bleu marine pour un look décontracté.,https://www.dior.com/fr_fr/products/couture-963C119E4408_C540-jogging-en-laine,/homme/pret-a-porter/nouveautes>,,Jogging en laine,"900,00€",fr_fr,5.16362738609314,€
