category,description,html,ierarch,is_available,name,price,region
,"Sac Lady Dior cabas en agneau Cannage noir, bandoulière.",https://www.dior.com/fr_fr/products/couture-M0566ONGE_M900_TU-sac-lady-dior-cabas-en-agneau,/femme/sacs/nouveautes,,Sac Lady Dior cabas en agneau,"3750,00eur",fr_fr
,Sac Saddle en toile brodée Dior Oblique bordeaux.,https://www.dior.com/fr_fr/products/couture-M0446CTZQ_M974_TU-sac-saddle-dior-oblique,/femme/sacs/nouveautes,,Sac Saddle Dior Oblique,"2200,00eur",fr_fr
,Sac Saddle en toile brodée Dior Oblique verte.,https://www.dior.com/fr_fr/products/couture-M0446CTZQ_M924_TU-sac-saddle-dior-oblique,/femme/sacs/nouveautes,,Sac Saddle Dior Oblique,"2200,00eur",fr_fr
,Mini sac Lady Dior en veau lisse blanc brodé d'un Cannage géométrique.,https://www.dior.com/fr_fr/products/couture-M0505ORJZ_M941_TU-mini-sac-lady-dior-brode,/femme/sacs/nouveautes,,Mini sac Lady Dior brodé,"4100,00eur",fr_fr
,Mini sac Saddle en veau grainé embossé noir.,https://www.dior.com/fr_fr/products/couture-M0447CWVG_M900_TU-mini-sac-saddle-en-veau,/femme/sacs/nouveautes,,Mini sac Saddle en veau,"2000,00eur",fr_fr
,Mini sac Lady Dior en agneau Cannage couleur bleu ciel.,https://www.dior.com/fr_fr/products/couture-M0505OCAL_M81B_TU-mini-sac-lady-dior-en-agneau,/femme/sacs/nouveautes,,Mini sac Lady Dior en agneau,"2550,00eur",fr_fr
,Mini sac Saddle en veau grainé embossé rouge.,https://www.dior.com/fr_fr/products/couture-M0447CWVG_M35R_TU-mini-sac-saddle-en-veau,/femme/sacs/nouveautes,,Mini sac Saddle en veau,"2000,00eur",fr_fr
,Sac Saddle en veau grainé embossé couleur amarante.,https://www.dior.com/fr_fr/products/couture-M0446CWVG_M42R_TU-sac-saddle-en-veau,/femme/sacs/nouveautes,,Sac Saddle en veau,"2500,00eur",fr_fr
,"Sac Lady Dior cabas en veau grainé embossé noir, large bandoulière.",https://www.dior.com/fr_fr/products/couture-M0587OWVG_M900_TU-sac-lady-dior-cabas-en-veau,/femme/sacs/nouveautes,,Sac Lady Dior cabas en veau,"3650,00eur",fr_fr
,Mini sac Lady Dior en veau lisse écru brodé de fleurs noires en cuir.,https://www.dior.com/fr_fr/products/couture-M0598VRMI_M06E_TU-mini-sac-lady-dior-brode,/femme/sacs/nouveautes,,Mini sac Lady Dior brodé,"5500,00eur",fr_fr
,Quilted black silk jacket.,https://www.dior.com/en_us/products/couture-917V08A6634_X9000-silk-jacket,/women/ready-to-wear/jackets,,Silk jacket,"$3,800.00",en_us
,Beige cotton jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V08A3218_X1670-cotton-jacket,/women/ready-to-wear/jackets,,Cotton jacket,"$3,400.00",en_us
,Grande pochette Wallet on Chain Saddle en toile jacquard Dior Oblique bleue et cuir de vachette bleu.,https://www.dior.com/fr_fr/products/couture-S5620CTZQ_M928_TU-pochette-saddle-dior-oblique,/femme/sacs/nouveautes,,Pochette Saddle Dior Oblique,"1450,00eur",fr_fr
,,https://www.dior.com/fr_fr/femme/sacs/my-lady-dior/collection/my-lady-dior/sac-my-lady-dior-en-agneau-1-84610,/femme/sacs/nouveautes,,Sac My Lady Dior en agneau,"2950,00eur",fr_fr
,"Sac Lady Dior cabas en veau grainé embossé couleur vert cyprès, large bandoulière.",https://www.dior.com/fr_fr/products/couture-M0587OWVG_M50H_TU-sac-lady-dior-cabas-en-veau,/femme/sacs/nouveautes,,Sac Lady Dior cabas en veau,"3650,00eur",fr_fr
,Mini sac Lady Dior en veau lisse sérigraphié et brodé d'un motif fleuri noir.,https://www.dior.com/fr_fr/products/couture-M0505ORCD_M06E_TU-mini-sac-lady-dior-brode,/femme/sacs/nouveautes,,Mini sac Lady Dior brodé,"3700,00eur",fr_fr
,,https://www.dior.com/fr_fr/femme/sacs/my-lady-dior/collection/my-lady-dior/sac-my-lady-dior-en-veau-1-84611,/femme/sacs/nouveautes,,Sac My Lady Dior en veau,"2950,00eur",fr_fr
,Double-breasted black wool and silk jacket.,https://www.dior.com/en_us/products/couture-911V23A1166_X9000-wool-and-silk-jacket,/women/ready-to-wear/jackets,,Wool and silk jacket,"$4,100.00",en_us
,Beige cotton jacket with simple button fastening.,https://www.dior.com/en_us/products/couture-911V07A3218_X1670-cotton-jacket,/women/ready-to-wear/jackets,,Cotton jacket,"$3,100.00",en_us
,Sac Saddle en veau grainé embossé noir.,https://www.dior.com/fr_fr/products/couture-M0446CWVG_M900_TU-sac-saddle-en-veau,/femme/sacs/nouveautes,,Sac Saddle en veau,"2500,00eur",fr_fr
,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué aux épaules de ce pull col rond en maille jersey de laine bleue. La broderie ""Abeille"" blanche placée à la poitrine signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-833M655KT332_C580-pull-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Pull en laine, Ruban ""Christian Dior Atelier""","550,00eur",fr_fr
,"Indispensable du vestiaire masculin, ce pull col roulé en maille de cachemire bleu marine se distingue par son ""Abeille"" brodée en ton sur ton. À porter sous une veste pour un look chic ou sous un blouson ou une veste en jean pour une tenue plus décontractée.",https://www.dior.com/fr_fr/products/couture-833M603BT128_C540-pull-en-cachemire-broderie-abeille,/homme/pret-a-porter/nouveautes,,"Pull en cachemire, Broderie ""Abeille""","800,00eur",fr_fr
,"Indispensable du vestiaire masculin, ce pull col roulé en maille de cachemire noir se distingue par son ""Abeille"" brodée en ton sur ton. À porter sous une veste pour un look chic, ou sous un blouson ou une veste en jean pour une tenue plus décontractée.",https://www.dior.com/fr_fr/products/couture-833M603BT128_C900-pull-en-cachemire-broderie-abeille,/homme/pret-a-porter/nouveautes,,"Pull en cachemire, Broderie ""Abeille""","800,00eur",fr_fr
,Ce pull à capuche en jersey de cachemire vert se distingue par son effet bord-côte en contraste noir à la capuche et assure ainsi un style élégant et décontracté.,https://www.dior.com/fr_fr/products/couture-733M205ZT578_C679-pull-en-cachemrie-detail-de-bord-cote,/homme/pret-a-porter/nouveautes,,"Pull en cachemrie, Détail de bord-côte","1300,00eur",fr_fr
,"Ce pull zippé en jersey de cachemire noir se distingue par son élégant col montant. Nouvel indispensable du vestiaire masculin, cette pièce assure un style élégant et décontracté.",https://www.dior.com/fr_fr/products/couture-963M233ZT578_C980-pull-en-cachemire-col-montant,/homme/pret-a-porter/nouveautes,,"Pull en cachemire, Col montant","1050,00eur",fr_fr
,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué sur les côtés de ce pantalon de jogging en ottoman de laine noire, pour une allure à la fois mode et décontractée.",https://www.dior.com/fr_fr/products/couture-863C154E4211_C900-jogging-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Jogging en laine, Ruban ""Christian Dior Atelier""","850,00eur",fr_fr
,"Indispensable du vestiaire masculin, ce pantalon droit en toile de laine bleue assure un look formel et élégant.",https://www.dior.com/fr_fr/products/couture-763C190A4339_C530-pantalon-en-laine-coupe-droite,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Coupe droite","600,00eur",fr_fr
,"Ce pantalon en toile stretch de coton satiné bleu marine est revisité dans une version mode avec ses poches cargo. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C110E4404_C540-pantalon-en-coton-stretch-poches-cargo,/homme/pret-a-porter/nouveautes,,"Pantalon en coton stretch, Poches cargo","900,00eur",fr_fr
,"Ce pantalon droit à revers est revisité dans une version mode en velours côtelé stretch de coton bleu marine. Son ruban ""Christian Dior Atelier"" appliqué à l'intérieur de la ceinture signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963C102E4104_C541-pantalon-en-coton-stretch-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Pantalon en coton stretch, Ruban ""Christian Dior Atelier""","600,00eur",fr_fr
